"passenger_count","trip_distance","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
2,8.7,1,24.5,0,0.5,6.15,5.54,0.3,36.99
2,10.15,1,30.5,0,0.5,7.37,5.54,0.3,44.21
1,8.5,1,24,0,0.5,6.07,5.54,0.3,36.41
2,17.84,1,52,0,0.5,8,5.54,0.3,66.34
1,20.49,1,52,0,0.5,11.67,5.54,0.3,70.01
1,17.23,1,52,0,0.5,14.58,5.54,0.3,72.92
2,17.46,1,52,0,0.5,11.67,5.54,0.3,70.01
1,19.7,1,52,0,0.5,11.65,5.54,0.3,69.99
2,19,1,52,0,0.5,17.5,5.54,0.3,75.84
2,9.11,1,26,0,0.5,6.47,5.54,0.3,38.81
1,18.48,1,52,0,0.5,5,5.54,0.3,63.34
2,21.7,1,52,0,0.5,11.65,5.54,0.3,69.99
1,11.27,1,32.5,0,0.5,1,5.54,0.3,39.84
2,9.7,1,28.5,0,0.5,8.7,5.54,0.3,43.54
1,8.3,1,24.5,0,0.5,3,5.54,0.3,33.84
1,8.77,1,26,0,0.5,7.5,5.54,0.3,39.84
1,8.6,1,25,0,0.5,9.4,5.54,0.3,40.74
1,19.51,1,52,0,0.5,17.5,5.54,0.3,75.84
1,12.72,1,37.5,0,0.5,13.15,5.54,0.3,56.99
2,10.91,1,31.5,0,0.5,7.57,5.54,0.3,45.41
1,21.34,1,52,0,0.5,10,5.54,0.3,68.34
1,23.7,1,63,0,0.5,15,11.08,0.3,89.88
2,17.5,1,52,0,0.5,14.58,5.54,0.3,72.92
1,16.14,1,52,0,0.5,14.58,5.54,0.3,72.92
1,18.78,1,52,0,0.5,14.58,5.54,0.3,72.92
1,17.87,1,52,0,0.5,10,5.54,0.3,68.34
2,17.4,1,52,0,0.5,11.65,5.54,0.3,69.99
1,10.3,1,29,0,0.5,7.05,5.54,0.3,42.39
2,17.38,1,52,0,0.5,11.67,5.54,0.3,70.01
1,10.7,1,31.5,0,0.5,6.95,2.54,0.3,41.79
2,15.8,1,52,0,0.5,2.5,5.54,0.3,60.84
1,9.1,1,26,0,0.5,5,5.54,0.3,37.34
1,8.98,1,26,0,0.5,6.47,5.54,0.3,38.81
2,9.96,1,28,0,0.5,10.3,5.54,0.3,44.64
1,8.61,1,26,0,0.5,8.08,5.54,0.3,40.42
1,11.2,1,31.5,0,0.5,7.57,5.54,0.3,45.41
1,10.71,1,32,0,0.5,7.67,5.54,0.3,46.01
1,11.97,1,34.5,0,0.5,8.17,5.54,0.3,49.01
1,10.5,1,30,0,0.5,7.27,5.54,0.3,43.61
1,11.47,1,33,0,0.5,7.87,5.54,0.3,47.21
1,18.39,1,52,0,0.5,11.67,5.54,0.3,70.01
1,17,1,47.5,0,0.5,13.45,5.54,0.3,67.29
1,20.18,1,52,0,0.5,11.67,5.54,0.3,70.01
1,19.87,1,63.5,0,0.5,5,5.54,0.3,74.84
2,10.09,1,28.5,0,0.5,6.97,5.54,0.3,41.81
3,13.2,1,37.5,0,0.5,8.75,5.54,0.3,52.59
1,17.83,1,52,0,0.5,14.58,5.54,0.3,72.92
3,17.3,1,52,0,0.5,10,5.54,0.3,68.34
1,17.06,1,52,0,0.5,11.67,5.54,0.3,70.01
1,17.77,1,52,0,0.5,11.67,5.54,0.3,70.01
1,9.1,1,27,0,0.5,6.65,5.54,0.3,39.99
1,9.37,1,29,0,0.5,10.6,5.54,0.3,45.94
